"YEAR","SAMPLE","SERIAL","CBSERIAL","HHWT","CLUSTER","STRATA","GQ","PERNUM","PERWT","NCHILD","SEX","AGE","MARST","RACE","RACED","HISPAN","HISPAND","EDUC","EDUCD","EMPSTAT","EMPSTATD","INCWAGE","VETSTAT","VETSTATD"
2023,202301,59,2023010003438,7452.0,2023000000591,210101,4,1,7452.0,0,2,21,6,1,100,0,0,7,71,1,10,4100,1,11
2023,202301,383,2023010019305,7776.0,2023000003831,120201,4,1,7776.0,0,2,21,6,1,100,0,0,7,71,1,10,5500,1,11
2023,202301,2327,2023010113158,7452.0,2023000023271,40201,4,1,7452.0,0,2,19,6,1,100,0,0,7,71,1,12,25000,1,11
2023,202301,3137,2023010151987,10368.0,2023000031371,120201,4,1,10368.0,0,1,19,6,1,100,0,0,6,65,1,12,4500,1,11
2023,202301,3785,2023000006791,41310.0,2023000037851,140101,1,1,41310.0,2,2,51,1,2,200,0,0,10,101,1,10,85000,1,11
2023,202301,4271,2023000040858,21060.0,2023000042711,160001,1,2,23166.0,3,1,40,1,1,100,0,0,6,65,1,10,24000,1,11
2023,202301,4433,2023000050859,12798.0,2023000044331,230001,1,1,12960.0,3,1,37,1,2,200,0,0,6,65,1,10,80000,1,11
2023,202301,4757,2023000073733,11178.0,2023000047571,20001,1,1,11016.0,0,2,52,1,2,200,0,0,6,63,1,10,52000,1,11
2023,202301,4757,2023000073733,11178.0,2023000047571,20001,1,2,21708.0,0,1,50,1,2,200,0,0,6,64,1,10,70000,1,11
2023,202301,4919,2023000083172,53784.0,2023000049191,110001,1,1,53784.0,2,1,41,1,8,811,0,0,11,116,1,10,45000,1,11
2023,202301,4919,2023000083172,53784.0,2023000049191,110001,1,2,27378.0,2,2,41,1,1,100,0,0,11,114,1,10,16000,1,11
2023,202301,5081,2023000093814,11340.0,2023000050811,10001,1,1,11178.0,0,1,64,1,1,100,0,0,6,65,1,10,12500,1,11
2023,202301,5243,2023000105462,19116.0,2023000052431,200001,1,3,5022.0,0,2,46,4,1,100,0,0,11,114,1,10,0,1,11
2023,202301,5729,2023000136384,23490.0,2023000057291,180101,1,1,23652.0,0,1,37,4,2,200,0,0,6,65,1,10,90000,2,20
2023,202301,6377,2023000179272,11502.0,2023000063771,280201,1,1,11664.0,0,2,61,4,7,700,0,0,8,81,1,10,40000,1,11
2023,202301,6539,2023000189849,11502.0,2023000065391,280101,1,1,11502.0,0,2,29,6,1,100,0,0,10,101,1,12,42300,1,11
2023,202301,6539,2023000189849,11502.0,2023000065391,280101,1,2,10368.0,0,1,27,6,1,100,0,0,6,63,1,12,55000,1,11
2023,202301,6701,2023000201965,7452.0,2023000067011,150201,1,3,11178.0,0,1,38,6,1,100,0,0,4,40,1,10,0,1,11
2023,202301,6701,2023000201965,7452.0,2023000067011,150201,1,6,12150.0,0,1,21,6,8,801,0,0,5,50,1,10,30000,1,11
2023,202301,6701,2023000201965,7452.0,2023000067011,150201,1,7,9558.0,0,2,40,2,1,100,0,0,10,101,1,10,2000,1,11
2023,202301,6863,2023000213255,9234.0,2023000068631,70001,1,1,9234.0,2,2,54,3,1,100,0,0,7,71,1,10,12000,1,11
2023,202301,6863,2023000213255,9234.0,2023000068631,70001,1,2,6966.0,2,1,64,3,1,100,0,0,6,65,1,10,5000,1,11
2023,202301,7025,2023000223598,7776.0,2023000070251,240001,1,2,3078.0,0,1,50,1,1,100,0,0,8,81,1,10,30000,1,11
